136,77,358,360
178,159,246,279
124,114,275,262
160,122,255,168
288,223,419,305
167,162,357,397
76,1,326,405
79,58,295,408
257,331,455,436
130,86,354,184
15,23,296,479
208,145,293,259
194,219,263,323
194,369,259,452
170,350,220,412
188,184,307,259
234,189,375,294
178,1,331,235
134,8,297,226
74,31,346,369
124,2,321,431
100,136,311,457
54,1,375,486
206,133,355,230
1,2,249,223
158,25,394,333
47,41,294,459
193,46,333,220
153,139,282,345
231,155,474,315
86,12,328,457
141,150,322,371
311,115,348,191
317,192,358,266
1,1,500,374
376,234,471,375
227,171,358,252
188,443,322,500
196,416,315,472
136,267,270,367
229,288,333,450
114,68,269,330
217,44,500,190
195,199,464,301
170,50,228,128
170,129,237,206
173,246,250,329
187,368,264,475
110,365,234,494
133,218,264,345
178,82,304,203
49,163,160,285
249,204,325,274
187,238,381,360
175,374,381,443
163,1,381,156
80,73,333,441
283,11,450,212
235,132,436,322
85,95,253,232
4,380,308,500
1,13,375,476
151,10,495,333
203,74,314,144
224,203,375,310
57,1,346,470
14,42,291,455
230,430,310,500
227,358,299,429
233,295,305,351
223,153,281,185
230,121,321,155
20,33,330,450
176,344,306,432
181,297,266,349
144,116,270,189
225,83,375,310
244,245,377,462
274,1,377,258
243,125,377,274
247,136,378,202
17,4,329,494
228,306,314,370
213,225,301,288
204,151,294,217
188,72,279,142
204,71,429,309
128,173,341,333
1,61,257,500
48,47,292,432
2,106,253,472
188,277,295,384
1,43,333,443
134,135,285,341
229,420,281,486
226,315,281,394
209,228,279,314
201,72,280,177
203,47,273,137
132,4,486,167
143,248,500,389
156,1,375,398
221,36,430,301
201,46,354,161
215,95,291,215
11,25,320,488
182,42,335,135
76,436,128,500
110,200,208,244
131,124,169,185
164,53,307,123
217,222,334,408
12,1,360,500
143,146,375,387
187,274,333,500
115,153,333,416
72,1,272,132
226,210,286,308
225,137,287,224
245,36,324,150
62,2,306,500
164,39,308,260
169,284,367,500
31,1,355,439
69,36,383,259
174,376,383,500
201,50,411,254
167,237,397,359
320,159,498,374
378,4,473,60
376,133,447,177
225,157,375,290
346,45,489,500
267,75,480,289
29,1,375,500
138,2,375,455
136,209,233,261
118,302,266,500
224,102,407,202
93,30,443,403
139,123,300,379
131,183,174,245
238,124,323,193
181,429,235,494
255,177,346,345
274,1,500,333
185,15,237,98
196,357,232,401
220,262,372,372
190,259,301,373
182,15,299,111
197,190,419,383
26,283,346,475
231,31,500,263
178,200,375,500
202,84,386,375
194,1,333,272
171,284,333,500
5,159,375,417
118,354,210,495
160,65,268,244
250,40,333,327
163,64,375,359
170,320,279,429
139,51,290,206
12,137,340,362
217,10,500,374
141,125,374,466
224,21,477,333
25,37,313,463
131,238,291,465
199,15,340,77
223,66,313,202
213,178,375,327
213,53,461,231
224,224,424,331
151,224,194,262
148,125,405,362
60,72,324,489
50,359,290,490
30,33,340,449
148,29,284,241
122,253,259,479
142,235,273,465
121,156,254,380
160,141,348,407
226,131,448,340
1,1,375,500
64,2,278,297
69,163,293,371
1,59,316,500
130,76,287,313
175,282,251,330
192,128,333,500
167,1,331,203
173,60,408,330
280,213,332,307
280,352,336,447
252,226,319,272
248,121,319,211
246,288,319,396
249,362,315,456
234,190,305,259
240,373,305,419
173,146,334,413
192,18,440,234
160,164,333,331
167,163,350,424
199,75,333,364
92,341,237,477
209,239,375,478
49,12,350,496
181,32,496,216
40,16,342,481
45,1,372,493
24,54,326,500
284,78,500,483
323,94,479,246
299,162,477,293
130,76,288,255
188,1,295,84
208,260,311,330
61,23,317,436
29,139,292,220
154,1,494,333
122,15,360,234
156,252,316,357
179,102,333,217
62,8,345,479
214,1,335,379
176,277,213,333
184,153,209,192
22,47,327,461
202,75,333,210
33,40,334,426
211,43,440,236
89,66,375,379
71,234,333,373
199,35,308,192
72,1,499,332
215,75,500,192
1,16,499,316
110,392,197,500
119,258,233,416
133,2,500,329
96,217,333,348
107,335,319,500
123,211,161,268
163,165,245,246
260,24,366,82
108,135,284,370
28,5,470,332
348,146,495,240
238,97,375,401
264,197,375,500
157,80,267,139
194,25,333,276
201,125,266,207
220,208,294,280
209,282,268,336
253,38,497,343
116,162,350,436
285,50,491,354
168,31,372,167
172,235,317,410
170,148,375,323
174,281,375,462
136,18,195,57
238,8,331,120
264,410,375,500
209,138,349,346
178,78,353,326
267,1,360,72
231,398,272,445
79,390,135,426
1,139,309,460
235,170,353,329
226,198,260,265
227,76,301,161
254,61,456,310
87,85,294,349
27,2,375,499
224,41,422,214
1,373,141,500
42,43,94,127
117,344,176,410
110,409,171,443
211,200,308,369
291,231,375,400
93,253,247,400
2,2,374,500
24,8,325,493
152,47,259,234
37,176,333,414
1,1,283,198
125,2,279,105
173,189,380,467
1,1,122,174
5,210,382,375
114,36,240,94
269,326,313,388
275,1,320,51
209,26,322,124
239,211,375,308
222,266,345,450
204,160,303,320
186,115,274,206
143,295,326,454
279,115,373,222
106,171,319,367
135,135,299,343
95,76,325,432
27,22,396,484
147,284,353,374
194,225,319,271
310,112,458,187
175,63,500,334
1,3,332,498
74,76,318,401
51,15,318,454
207,51,370,240
24,41,262,377
189,39,330,316
39,263,181,469
247,312,332,433
237,67,305,160
159,346,249,467
155,185,248,344
222,108,319,217
23,86,312,422
230,4,353,129
78,244,301,426
156,118,375,382
62,58,337,487
109,51,345,424
281,2,500,303
84,27,349,491
